epoch,train_loss,val_loss,worker
1,0.9053081752269468,3.1613402366638184,0
2,0.6827384922835692,2.3457024097442627,0
3,0.4432442766812916,1.2332665920257568,0
4,0.26517667920272175,0.6292635798454285,0
5,0.20557666533497215,0.5081037282943726,0
6,0.1830694798212462,0.42902955412864685,0
7,0.16427104740810022,0.3865211308002472,0
8,0.1499199215650792,0.3530031144618988,0
9,0.1394751618111437,0.31118911504745483,0
10,0.1326827710155405,0.3023618757724762,0
11,0.12689591397452962,0.2870651185512543,0
12,0.12126618372950769,0.2815975248813629,0
13,0.1193768172114796,0.2758196294307709,0
14,0.11951024987809579,0.2749059200286865,0
15,0.1133159500220517,0.27158012986183167,0
16,0.108680320054351,0.2653212249279022,0
17,0.10631651986835054,0.26238399744033813,0
18,0.10453535546411974,0.2587163746356964,0
19,0.10137739975858341,0.260430246591568,0
20,0.10113603588186365,0.2547152638435364,0
21,0.09843387779890908,0.2502851188182831,0
22,0.0978377932817502,0.25778576731681824,0
23,0.09416833222495599,0.2489226758480072,0
24,0.09336439027303352,0.24416714906692505,0
25,0.09089573060113157,0.24895697832107544,0
26,0.09164835690518881,0.24584287405014038,0
27,0.08766460593665883,0.24340514838695526,0
28,0.08551057527268237,0.2418290078639984,0
29,0.0864193754128514,0.23933018743991852,0
30,0.08410039926111815,0.24137398600578308,0
31,0.08224739689824632,0.23906159400939941,0
32,0.08089678858474277,0.23880738019943237,0
33,0.08184735185362821,0.23691977560520172,0
34,0.07710308937352231,0.24257777631282806,0
35,0.07757151531467465,0.24235863983631134,0
36,0.07561201210007976,0.2397613376379013,0
37,0.07493930789705826,0.2323315590620041,0
38,0.0737548792432199,0.2391897290945053,0
39,0.0731081553459634,0.2332916259765625,0
40,0.0732381938867373,0.2361351102590561,0
